StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q3,Q3_16_TEXT,Q4,Q4_13_TEXT,Q7,Q8,Q9,Q9_8_TEXT,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Path1-LaborVisibility_DO
Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Distribution Channel,User Language,The following categories describe things that projects either create or work on. Which categories apply to the projects you worked on? Select all that apply. - Selected Choice,The following categories describe things that projects either create or work on. Which categories apply to the projects you worked on? Select all that apply. - Something else - Text,Projects create for different use cases. Which cases apply to the projects you worked on? Select all that apply. - Selected Choice,Projects create for different use cases. Which cases apply to the projects you worked on? Select all that apply. - Something else - Text,"In the past two years, from how many projects did you receive credit for your tasks?","In the past two years, for how many of your tasks did you receive credit?",Projects give people credit for tasks through different mediums. Through what mediums did you receive credit? Select all that apply. - Selected Choice,Projects give people credit for tasks through different mediums. Through what mediums did you receive credit? Select all that apply. - Something else - Text,How satisfied are you with the mediums through which you received credit?,How often did 2 or more people know that you performed those tasks?,How often did 1 other person know that you performed those tasks?,How often did nobody else know that you performed those tasks?,How satisfied are you with how many of your tasks received credit?,How important is it to you to receive credit for the tasks you do?,"Think about how the projects you worked on gave people credit. From your perspective, what worked well about how they gave people credit?",What did not work well about how they gave people credit?,Is there anything else that you’d like to share with us?,Path 1 - Labor Visibility - Display Order
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID12""}","{""ImportId"":""QID12_16_TEXT""}","{""ImportId"":""QID17""}","{""ImportId"":""QID17_13_TEXT""}","{""ImportId"":""QID2""}","{""ImportId"":""QID13""}","{""ImportId"":""QID4""}","{""ImportId"":""QID4_8_TEXT""}","{""ImportId"":""QID7""}","{""ImportId"":""QID21""}","{""ImportId"":""QID23""}","{""ImportId"":""QID24""}","{""ImportId"":""QID8""}","{""ImportId"":""QID18""}","{""ImportId"":""QID9_TEXT""}","{""ImportId"":""QID10_TEXT""}","{""ImportId"":""QID11_TEXT""}","{""ImportId"":""BL_9v6BesNJ5JR1qdw_DO""}"
2022-01-07 08:18:19,2022-01-07 08:37:09,0,100,1130,1,2022-01-07 08:37:09,R_2uD1tqw8EkaeO71,anonymous,EN,13,,11,,2,6,"1,5,7,8",Citations,3,19,5,3,2,31,"co-authorship, investigator status, public credit/acknowledgment in announcements about the project ","private verbal acknowledgment of the credit without public credit or acknowledgment in announcements of the project ",,Q28|Q11|Q12|Q13
2022-01-07 09:07:21,2022-01-07 09:10:59,0,100,218,1,2022-01-07 09:10:59,R_3imB3gvb3gkt8nX,anonymous,EN,15,,7,,5,5,"1,2,3,8","Commit messages via standardized format, perhaps fits under documentation category ",4,20,3,2,5,30,"Giving credit for all aspects of effort that moved the project forward, including opening issues, writing clear reproduction steps, contributing mock-ups or user tests, etc.","For those types of credits it only shows in project-specific mediums via being parsed out of commit messages, doesn’t help with other things people might care about such as GitHub graphs.","I’m primarily a maintainer of WordPress, not a casual contributor :)",Q28|Q13|Q12|Q11
2022-01-07 10:13:26,2022-01-07 10:16:08,0,100,161,1,2022-01-07 10:16:08,R_2DZB8oTiPBY7pAc,anonymous,EN,13,,11,,2,2,"3,7",,2,19,3,4,3,30,,,,Q28|Q11|Q12|Q13
2022-01-07 08:23:36,2022-01-07 10:31:57,0,100,7701,1,2022-01-07 10:31:58,R_3lzbLtm5QUf8AdQ,anonymous,EN,11,,11,,5,5,"1,2,3,7",,5,20,5,2,4,31,"Credits in the changelog, individual mentions in the README for small projects (although that can quickly become complicated)","Different stages of a software project require different norms; as a project gets larger and more standardized, mentioning every contributor in the README may not be effective. Mentioning contributors in the README is what I'm doing currently, but potentially moving away from that eventually.",,Q28|Q13|Q12|Q11
2022-01-07 12:51:29,2022-01-07 12:54:44,0,100,194,1,2022-01-07 12:54:44,R_tEyU9ff5QDtsMFP,anonymous,EN,12,,13,Graphics,5,4,"3,5,7",,4,21,5,3,5,29,,,,Q28|Q13|Q12|Q11
2022-01-07 12:57:47,2022-01-07 13:00:22,0,100,155,1,2022-01-07 13:00:22,R_1HoVy719tmNSkce,anonymous,EN,"17,11,12,13,14,15",,"5,8,10,12",,2,2,"1,2,6",,3,19,4,2,3,29,,,,Q28|Q11|Q12|Q13
2022-01-07 13:15:56,2022-01-07 13:17:57,0,100,121,1,2022-01-07 13:17:57,R_115FyKQEbsq0JNI,anonymous,EN,17,,5,,2,2,9,,2,18,3,4,2,30,,,,Q28|Q13|Q12|Q11
2022-01-07 13:26:01,2022-01-07 13:28:35,0,100,154,1,2022-01-07 13:28:36,R_3nPjC5ujjjBKGhF,anonymous,EN,"10,17,12",,12,,3,3,"1,2,3,8",Awards,5,18,3,4,4,28,Release shout-outs and thanks are nice.,"They misspelled my name on a thank-you plaque, that wasn't fun.",,Q28|Q13|Q12|Q11
