StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q3_7,Q3_8,Q3_9,Q3_10,Q3_17,Q3_11,Q3_12,Q3_13,Q3_14,Q3_15,Q3_16,Q3_16_TEXT,Q4_4,Q4_5,Q4_6,Q4_7,Q4_14,Q4_8,Q4_9,Q4_10,Q4_11,Q4_12,Q4_13,Q4_13_TEXT,Q7_1,Q7_2,Q7_3,Q7_4,Q7_5,Q7_6,Q8_1,Q8_2,Q8_3,Q8_4,Q8_5,Q8_6,Q9_1,Q9_2,Q9_3,Q9_4,Q9_5,Q9_6,Q9_7,Q9_8,Q9_9,Q9_8_TEXT,Q10_1,Q10_2,Q10_3,Q10_4,Q10_5,Q11_17,Q11_18,Q11_19,Q11_20,Q11_21,Q11_6,Q12_1,Q12_2,Q12_3,Q12_4,Q12_5,Q12_6,Q13_1,Q13_2,Q13_3,Q13_4,Q13_5,Q13_6,Q14_1,Q14_2,Q14_3,Q14_4,Q14_5,Q15_28,Q15_29,Q15_30,Q15_31,Q15_32,Q16,Q17,Q18,Path1-LaborVisibility_DO_Q28,Path1-LaborVisibility_DO_Q13,Path1-LaborVisibility_DO_Q12,Path1-LaborVisibility_DO_Q11
Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Distribution Channel,User Language,The following categories describe things that projects either create or work on. Which categories apply to the projects you worked on? Select all that apply. - Selected Choice - Hardware,The following categories describe things that projects either create or work on. Which categories apply to the projects you worked on? Select all that apply. - Selected Choice - Operating systems,The following categories describe things that projects either create or work on. Which categories apply to the projects you worked on? Select all that apply. - Selected Choice - Languages,The following categories describe things that projects either create or work on. Which categories apply to the projects you worked on? Select all that apply. - Selected Choice - Frameworks,The following categories describe things that projects either create or work on. Which categories apply to the projects you worked on? Select all that apply. - Selected Choice - Libraries,The following categories describe things that projects either create or work on. Which categories apply to the projects you worked on? Select all that apply. - Selected Choice - Packages,The following categories describe things that projects either create or work on. Which categories apply to the projects you worked on? Select all that apply. - Selected Choice - Applications,The following categories describe things that projects either create or work on. Which categories apply to the projects you worked on? Select all that apply. - Selected Choice - Data science,The following categories describe things that projects either create or work on. Which categories apply to the projects you worked on? Select all that apply. - Selected Choice - Scripts,The following categories describe things that projects either create or work on. Which categories apply to the projects you worked on? Select all that apply. - Selected Choice - Web-related,The following categories describe things that projects either create or work on. Which categories apply to the projects you worked on? Select all that apply. - Selected Choice - Something else,The following categories describe things that projects either create or work on. Which categories apply to the projects you worked on? Select all that apply. - Something else - Text,Projects create for different use cases. Which cases apply to the projects you worked on? Select all that apply. - Selected Choice - Browsers,Projects create for different use cases. Which cases apply to the projects you worked on? Select all that apply. - Selected Choice - Business & productivity applications,Projects create for different use cases. Which cases apply to the projects you worked on? Select all that apply. - Selected Choice - Communication technologies,Projects create for different use cases. Which cases apply to the projects you worked on? Select all that apply. - Selected Choice - Content management,Projects create for different use cases. Which cases apply to the projects you worked on? Select all that apply. - Selected Choice - Education,Projects create for different use cases. Which cases apply to the projects you worked on? Select all that apply. - Selected Choice - Entertainment,Projects create for different use cases. Which cases apply to the projects you worked on? Select all that apply. - Selected Choice - Manufacturing,Projects create for different use cases. Which cases apply to the projects you worked on? Select all that apply. - Selected Choice - Publishing,Projects create for different use cases. Which cases apply to the projects you worked on? Select all that apply. - Selected Choice - Scientific research,Projects create for different use cases. Which cases apply to the projects you worked on? Select all that apply. - Selected Choice - Software infrastructure,Projects create for different use cases. Which cases apply to the projects you worked on? Select all that apply. - Selected Choice - Something else,Projects create for different use cases. Which cases apply to the projects you worked on? Select all that apply. - Something else - Text,"In the past two years, from how many projects did you receive credit for your tasks? - 1 - None of them","In the past two years, from how many projects did you receive credit for your tasks? - 2 - Few of them","In the past two years, from how many projects did you receive credit for your tasks? - 3 - Some of them","In the past two years, from how many projects did you receive credit for your tasks? - 4 - Most of them","In the past two years, from how many projects did you receive credit for your tasks? - 5 - All of them","In the past two years, from how many projects did you receive credit for your tasks? - I'm not sure","In the past two years, for how many of your tasks did you receive credit? - 1 - None of them","In the past two years, for how many of your tasks did you receive credit? - 2 - Few of them","In the past two years, for how many of your tasks did you receive credit? - 3 - Some of them","In the past two years, for how many of your tasks did you receive credit? - 4 - Most of them","In the past two years, for how many of your tasks did you receive credit? - 5 - All of them","In the past two years, for how many of your tasks did you receive credit? - I’m not sure",Projects give people credit for tasks through different mediums. Through what mediums did you receive credit? Select all that apply. - Selected Choice - Automated metrics (e.g. GitHub Contributors),Projects give people credit for tasks through different mediums. Through what mediums did you receive credit? Select all that apply. - Selected Choice - Project membership (e.g. GitHub Organizations),"Projects give people credit for tasks through different mediums. Through what mediums did you receive credit? Select all that apply. - Selected Choice - Project documentation (e.g. acknowledgements lists, release notes)","Projects give people credit for tasks through different mediums. Through what mediums did you receive credit? Select all that apply. - Selected Choice - Standardized tools (e.g. All Contributors, CRediT)","Projects give people credit for tasks through different mediums. Through what mediums did you receive credit? Select all that apply. - Selected Choice - Social media (e.g. Twitter, Facebook)","Projects give people credit for tasks through different mediums. Through what mediums did you receive credit? Select all that apply. - Selected Choice - Blogs (e.g. Medium, personal websites)","Projects give people credit for tasks through different mediums. Through what mediums did you receive credit? Select all that apply. - Selected Choice - Presentations (e.g. talks, conferences)",Projects give people credit for tasks through different mediums. Through what mediums did you receive credit? Select all that apply. - Selected Choice - Something else,Projects give people credit for tasks through different mediums. Through what mediums did you receive credit? Select all that apply. - Selected Choice - I’m not sure,Projects give people credit for tasks through different mediums. Through what mediums did you receive credit? Select all that apply. - Something else - Text,How satisfied are you with the mediums through which you received credit? - 1 - Extremely dissatisfied,How satisfied are you with the mediums through which you received credit? - 2 - Dissatisfied,How satisfied are you with the mediums through which you received credit? - 3 - Neither satisfied nor dissatisfied,How satisfied are you with the mediums through which you received credit? - 4 - Satisfied,How satisfied are you with the mediums through which you received credit? - 5 - Extremely satisfied,How often did 2 or more people know that you performed those tasks? - 1 - Never,How often did 2 or more people know that you performed those tasks? - 2 - Rarely,How often did 2 or more people know that you performed those tasks? - 3 - Sometimes,How often did 2 or more people know that you performed those tasks? - 4 - Often,How often did 2 or more people know that you performed those tasks? - 5 - Always,How often did 2 or more people know that you performed those tasks? - I'm not sure,How often did 1 other person know that you performed those tasks? - 1 - Never,How often did 1 other person know that you performed those tasks? - 2 - Rarely,How often did 1 other person know that you performed those tasks? - 3 - Sometimes,How often did 1 other person know that you performed those tasks? - 4 - Often,How often did 1 other person know that you performed those tasks? - 5 - Always,How often did 1 other person know that you performed those tasks? - I'm not sure,How often did nobody else know that you performed those tasks? - 1 - Never,How often did nobody else know that you performed those tasks? - 2 - Rarely,How often did nobody else know that you performed those tasks? - 3 - Sometimes,How often did nobody else know that you performed those tasks? - 4 - Often,How often did nobody else know that you performed those tasks? - 5 - Always,How often did nobody else know that you performed those tasks? - I'm not sure,How satisfied are you with how many of your tasks received credit? - 1 - Extremely dissatisfied,How satisfied are you with how many of your tasks received credit? - 2 - Dissatisfied,How satisfied are you with how many of your tasks received credit? - 3 - Neither satisfied nor dissatisfied,How satisfied are you with how many of your tasks received credit? - 4 - Satisfied,How satisfied are you with how many of your tasks received credit? - 5 - Extremely satisfied,How important is it to you to receive credit for the tasks you do? - 1 - Not at all important,How important is it to you to receive credit for the tasks you do? - 2 - Slightly important,How important is it to you to receive credit for the tasks you do? - 3 - Moderately important,How important is it to you to receive credit for the tasks you do? - 4 - Very important,How important is it to you to receive credit for the tasks you do? - 5 - Extremely important,"Think about how the projects you worked on gave people credit. From your perspective, what worked well about how they gave people credit?",What did not work well about how they gave people credit?,Is there anything else that you’d like to share with us?,Path 1 - Labor Visibility - Display Order - Q28,Path 1 - Labor Visibility - Display Order - Q13,Path 1 - Labor Visibility - Display Order - Q12,Path 1 - Labor Visibility - Display Order - Q11
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID12"",""choiceId"":""7""}","{""ImportId"":""QID12"",""choiceId"":""8""}","{""ImportId"":""QID12"",""choiceId"":""9""}","{""ImportId"":""QID12"",""choiceId"":""10""}","{""ImportId"":""QID12"",""choiceId"":""17""}","{""ImportId"":""QID12"",""choiceId"":""11""}","{""ImportId"":""QID12"",""choiceId"":""12""}","{""ImportId"":""QID12"",""choiceId"":""13""}","{""ImportId"":""QID12"",""choiceId"":""14""}","{""ImportId"":""QID12"",""choiceId"":""15""}","{""ImportId"":""QID12"",""choiceId"":""16""}","{""ImportId"":""QID12_16_TEXT""}","{""ImportId"":""QID17"",""choiceId"":""4""}","{""ImportId"":""QID17"",""choiceId"":""5""}","{""ImportId"":""QID17"",""choiceId"":""6""}","{""ImportId"":""QID17"",""choiceId"":""7""}","{""ImportId"":""QID17"",""choiceId"":""14""}","{""ImportId"":""QID17"",""choiceId"":""8""}","{""ImportId"":""QID17"",""choiceId"":""9""}","{""ImportId"":""QID17"",""choiceId"":""10""}","{""ImportId"":""QID17"",""choiceId"":""11""}","{""ImportId"":""QID17"",""choiceId"":""12""}","{""ImportId"":""QID17"",""choiceId"":""13""}","{""ImportId"":""QID17_13_TEXT""}","{""ImportId"":""QID2"",""choiceId"":""1""}","{""ImportId"":""QID2"",""choiceId"":""2""}","{""ImportId"":""QID2"",""choiceId"":""3""}","{""ImportId"":""QID2"",""choiceId"":""4""}","{""ImportId"":""QID2"",""choiceId"":""5""}","{""ImportId"":""QID2"",""choiceId"":""6""}","{""ImportId"":""QID13"",""choiceId"":""1""}","{""ImportId"":""QID13"",""choiceId"":""2""}","{""ImportId"":""QID13"",""choiceId"":""3""}","{""ImportId"":""QID13"",""choiceId"":""4""}","{""ImportId"":""QID13"",""choiceId"":""5""}","{""ImportId"":""QID13"",""choiceId"":""6""}","{""ImportId"":""QID4"",""choiceId"":""1""}","{""ImportId"":""QID4"",""choiceId"":""2""}","{""ImportId"":""QID4"",""choiceId"":""3""}","{""ImportId"":""QID4"",""choiceId"":""4""}","{""ImportId"":""QID4"",""choiceId"":""5""}","{""ImportId"":""QID4"",""choiceId"":""6""}","{""ImportId"":""QID4"",""choiceId"":""7""}","{""ImportId"":""QID4"",""choiceId"":""8""}","{""ImportId"":""QID4"",""choiceId"":""9""}","{""ImportId"":""QID4_8_TEXT""}","{""ImportId"":""QID7"",""choiceId"":""1""}","{""ImportId"":""QID7"",""choiceId"":""2""}","{""ImportId"":""QID7"",""choiceId"":""3""}","{""ImportId"":""QID7"",""choiceId"":""4""}","{""ImportId"":""QID7"",""choiceId"":""5""}","{""ImportId"":""QID21"",""choiceId"":""17""}","{""ImportId"":""QID21"",""choiceId"":""18""}","{""ImportId"":""QID21"",""choiceId"":""19""}","{""ImportId"":""QID21"",""choiceId"":""20""}","{""ImportId"":""QID21"",""choiceId"":""21""}","{""ImportId"":""QID21"",""choiceId"":""6""}","{""ImportId"":""QID23"",""choiceId"":""1""}","{""ImportId"":""QID23"",""choiceId"":""2""}","{""ImportId"":""QID23"",""choiceId"":""3""}","{""ImportId"":""QID23"",""choiceId"":""4""}","{""ImportId"":""QID23"",""choiceId"":""5""}","{""ImportId"":""QID23"",""choiceId"":""6""}","{""ImportId"":""QID24"",""choiceId"":""1""}","{""ImportId"":""QID24"",""choiceId"":""2""}","{""ImportId"":""QID24"",""choiceId"":""3""}","{""ImportId"":""QID24"",""choiceId"":""4""}","{""ImportId"":""QID24"",""choiceId"":""5""}","{""ImportId"":""QID24"",""choiceId"":""6""}","{""ImportId"":""QID8"",""choiceId"":""1""}","{""ImportId"":""QID8"",""choiceId"":""2""}","{""ImportId"":""QID8"",""choiceId"":""3""}","{""ImportId"":""QID8"",""choiceId"":""4""}","{""ImportId"":""QID8"",""choiceId"":""5""}","{""ImportId"":""QID18"",""choiceId"":""28""}","{""ImportId"":""QID18"",""choiceId"":""29""}","{""ImportId"":""QID18"",""choiceId"":""30""}","{""ImportId"":""QID18"",""choiceId"":""31""}","{""ImportId"":""QID18"",""choiceId"":""32""}","{""ImportId"":""QID9_TEXT""}","{""ImportId"":""QID10_TEXT""}","{""ImportId"":""QID11_TEXT""}","{""ImportId"":""BL_9v6BesNJ5JR1qdw_DO"",""choiceId"":""Q28""}","{""ImportId"":""BL_9v6BesNJ5JR1qdw_DO"",""choiceId"":""Q13""}","{""ImportId"":""BL_9v6BesNJ5JR1qdw_DO"",""choiceId"":""Q12""}","{""ImportId"":""BL_9v6BesNJ5JR1qdw_DO"",""choiceId"":""Q11""}"
2022-01-07 08:18:19,2022-01-07 08:37:09,IP Address,100,1130,True,2022-01-07 08:37:09,R_2uD1tqw8EkaeO71,anonymous,EN,,,,,,,,Data science,,,,,,,,,,,,,Scientific research,,,,,2 - Few of them,,,,,,,,,,I’m not sure,Automated metrics (e.g. GitHub Contributors),,,,"Social media (e.g. Twitter, Facebook)",,"Presentations (e.g. talks, conferences)",Something else,,Citations,,,3 - Neither satisfied nor dissatisfied,,,,,3 - Sometimes,,,,,,,,5 - Always,,,,3 - Sometimes,,,,,2 - Dissatisfied,,,,,,,4 - Very important,,"co-authorship, investigator status, public credit/acknowledgment in announcements about the project ","private verbal acknowledgment of the credit without public credit or acknowledgment in announcements of the project ",,1,4,3,2
2022-01-07 09:07:21,2022-01-07 09:10:59,IP Address,100,218,True,2022-01-07 09:10:59,R_3imB3gvb3gkt8nX,anonymous,EN,,,,,,,,,,Web-related,,,,,,Content management,,,,,,,,,,,,,5 - All of them,,,,,,5 - All of them,,Automated metrics (e.g. GitHub Contributors),Project membership (e.g. GitHub Organizations),"Project documentation (e.g. acknowledgements lists, release notes)",,,,,Something else,,"Commit messages via standardized format, perhaps fits under documentation category ",,,,4 - Satisfied,,,,,4 - Often,,,,,3 - Sometimes,,,,,2 - Rarely,,,,,,,,,5 - Extremely satisfied,,,3 - Moderately important,,,"Giving credit for all aspects of effort that moved the project forward, including opening issues, writing clear reproduction steps, contributing mock-ups or user tests, etc.","For those types of credits it only shows in project-specific mediums via being parsed out of commit messages, doesn’t help with other things people might care about such as GitHub graphs.","I’m primarily a maintainer of WordPress, not a casual contributor :)",1,2,3,4
2022-01-07 10:13:26,2022-01-07 10:16:08,IP Address,100,161,True,2022-01-07 10:16:08,R_2DZB8oTiPBY7pAc,anonymous,EN,,,,,,,,Data science,,,,,,,,,,,,,Scientific research,,,,,2 - Few of them,,,,,,2 - Few of them,,,,,,,"Project documentation (e.g. acknowledgements lists, release notes)",,,,"Presentations (e.g. talks, conferences)",,,,,2 - Dissatisfied,,,,,,3 - Sometimes,,,,,,3 - Sometimes,,,,,,,4 - Often,,,,,3 - Neither satisfied nor dissatisfied,,,,,3 - Moderately important,,,,,,1,4,3,2
2022-01-07 08:23:36,2022-01-07 10:31:57,IP Address,100,7701,True,2022-01-07 10:31:58,R_3lzbLtm5QUf8AdQ,anonymous,EN,,,,,,Packages,,,,,,,,,,,,,,,Scientific research,,,,,,,,5 - All of them,,,,,,5 - All of them,,Automated metrics (e.g. GitHub Contributors),Project membership (e.g. GitHub Organizations),"Project documentation (e.g. acknowledgements lists, release notes)",,,,"Presentations (e.g. talks, conferences)",,,,,,,,5 - Extremely satisfied,,,,4 - Often,,,,,,,5 - Always,,,2 - Rarely,,,,,,,,4 - Satisfied,,,,,4 - Very important,,"Credits in the changelog, individual mentions in the README for small projects (although that can quickly become complicated)","Different stages of a software project require different norms; as a project gets larger and more standardized, mentioning every contributor in the README may not be effective. Mentioning contributors in the README is what I'm doing currently, but potentially moving away from that eventually.",,1,2,3,4
2022-01-07 12:51:29,2022-01-07 12:54:44,IP Address,100,194,True,2022-01-07 12:54:44,R_tEyU9ff5QDtsMFP,anonymous,EN,,,,,,,Applications,,,,,,,,,,,,,,,,Something else,Graphics,,,,,5 - All of them,,,,,4 - Most of them,,,,,"Project documentation (e.g. acknowledgements lists, release notes)",,"Social media (e.g. Twitter, Facebook)",,"Presentations (e.g. talks, conferences)",,,,,,,4 - Satisfied,,,,,,5 - Always,,,,,,5 - Always,,,,3 - Sometimes,,,,,,,,5 - Extremely satisfied,,2 - Slightly important,,,,,,,1,2,3,4
2022-01-07 12:57:47,2022-01-07 13:00:22,IP Address,100,155,True,2022-01-07 13:00:22,R_1HoVy719tmNSkce,anonymous,EN,,,,,Libraries,Packages,Applications,Data science,Scripts,Web-related,,,,Business & productivity applications,,,,Entertainment,,Publishing,,Software infrastructure,,,,2 - Few of them,,,,,,2 - Few of them,,,,,Automated metrics (e.g. GitHub Contributors),Project membership (e.g. GitHub Organizations),,,,"Blogs (e.g. Medium, personal websites)",,,,,,,3 - Neither satisfied nor dissatisfied,,,,,3 - Sometimes,,,,,,,4 - Often,,,,2 - Rarely,,,,,,,3 - Neither satisfied nor dissatisfied,,,,2 - Slightly important,,,,,,,1,4,3,2
2022-01-07 13:15:56,2022-01-07 13:17:57,IP Address,100,121,True,2022-01-07 13:17:57,R_115FyKQEbsq0JNI,anonymous,EN,,,,,Libraries,,,,,,,,,Business & productivity applications,,,,,,,,,,,,2 - Few of them,,,,,,2 - Few of them,,,,,,,,,,,,,I’m not sure,,,2 - Dissatisfied,,,,,2 - Rarely,,,,,,,3 - Sometimes,,,,,,,4 - Often,,,,2 - Dissatisfied,,,,,,3 - Moderately important,,,,,,1,2,3,4
2022-01-07 13:26:01,2022-01-07 13:28:35,IP Address,100,154,True,2022-01-07 13:28:36,R_3nPjC5ujjjBKGhF,anonymous,EN,,,,Frameworks,Libraries,,Applications,,,,,,,,,,,,,,,Software infrastructure,,,,,3 - Some of them,,,,,,3 - Some of them,,,,Automated metrics (e.g. GitHub Contributors),Project membership (e.g. GitHub Organizations),"Project documentation (e.g. acknowledgements lists, release notes)",,,,,Something else,,Awards,,,,,5 - Extremely satisfied,,2 - Rarely,,,,,,,3 - Sometimes,,,,,,,4 - Often,,,,,,4 - Satisfied,,1 - Not at all important,,,,,Release shout-outs and thanks are nice.,"They misspelled my name on a thank-you plaque, that wasn't fun.",,1,2,3,4
